"date","last","opening","max","min","Vol.","Var%"
"13.12.2018","22,60","22,53","22,69","22,21","61,95M","0,27%"
"12.12.2018","22,54","22,97","23,12","22,45","63,30M","0,04%"
"11.12.2018","22,53","23,14","23,29","22,32","64,02M","-0,66%"
"10.12.2018","22,68","23,97","24,09","22,68","73,87M","-5,38%"
"07.12.2018","23,97","23,72","24,64","23,66","87,99M","0,76%"
"06.12.2018","23,79","24,18","24,30","23,52","99,04M","-3,80%"
"05.12.2018","24,73","24,64","24,88","24,14","54,18M","0,86%"
"04.12.2018","24,52","25,40","25,47","24,52","66,87M","-2,31%"
"03.12.2018","25,10","25,45","25,67","24,96","90,53M","1,91%"
"30.11.2018","24,63","24,29","24,73","24,26","90,87M","1,15%"
"29.11.2018","24,35","24,15","24,67","24,07","65,58M","-0,86%"
"28.11.2018","24,56","24,67","25,03","24,24","92,81M","-0,57%"
"27.11.2018","24,70","23,58","24,87","23,48","90,76M","5,29%"
"26.11.2018","23,46","23,99","24,18","23,27","62,11M","-0,51%"
"23.11.2018","23,58","23,85","23,99","23,23","77,96M","-3,08%"
"22.11.2018","24,33","24,46","24,54","24,26","31,25M","0,29%"
"21.11.2018","24,26","24,19","24,55","24,10","77,23M","-3,19%"
"19.11.2018","25,06","24,63","25,34","24,51","79,95M","0,80%"
"16.11.2018","24,86","24,47","25,09","24,26","100,63M","2,77%"
"14.11.2018","24,19","23,36","24,27","23,04","104,42M","3,55%"
"13.11.2018","23,36","24,40","24,40","23,08","112,78M","-4,30%"
"12.11.2018","24,41","24,61","24,98","24,37","63,16M","-0,53%"
"09.11.2018","24,54","24,28","24,79","23,78","94,21M","0,45%"
"08.11.2018","24,43","25,83","26,05","24,43","119,10M","-3,59%"
"07.11.2018","25,34","25,90","26,65","25,31","95,82M","-3,28%"
"06.11.2018","26,20","26,31","27,27","26,01","95,34M","-3,46%"
"05.11.2018","27,14","26,50","27,14","26,41","60,39M","3,08%"
"01.11.2018","26,33","26,75","27,00","26,13","97,30M","-1,09%"
"31.10.2018","26,62","27,23","27,30","26,31","83,77M","-1,33%"
"30.10.2018","26,98","25,73","26,98","25,46","106,24M","5,97%"
"29.10.2018","25,46","27,69","27,70","25,03","160,28M","-4,29%"
"26.10.2018","26,60","25,68","26,60","25,17","108,58M","4,89%"
"25.10.2018","25,36","25,23","25,67","24,76","79,21M","2,46%"
"24.10.2018","24,75","25,45","26,01","24,75","92,82M","-1,98%"
"23.10.2018","25,25","25,20","25,52","24,87","77,14M","-1,25%"
"22.10.2018","25,57","25,32","25,63","25,32","63,34M","2,36%"
"19.10.2018","24,98","25,20","25,34","24,79","61,68M","0,85%"
"18.10.2018","24,77","25,34","25,38","24,77","55,97M","-2,82%"
"17.10.2018","25,49","25,48","25,66","25,31","80,82M","-1,05%"
"16.10.2018","25,76","25,25","25,76","25,14","73,61M","3,75%"
"15.10.2018","24,83","24,96","25,17","24,62","92,09M","1,89%"
"11.10.2018","24,37","25,59","25,78","24,15","118,80M","-2,91%"
"10.10.2018","25,10","25,35","25,43","24,72","82,17M","-2,90%"
"09.10.2018","25,85","25,52","26,02","25,33","89,56M","0,86%"
"08.10.2018","25,63","25,96","25,99","24,81","187,49M","11,00%"
"05.10.2018","23,09","23,60","23,70","22,80","104,28M","-0,26%"
"04.10.2018","23,15","22,60","23,63","22,37","98,89M","0,96%"
"03.10.2018","22,93","24,33","24,50","22,61","151,33M","4,27%"
"02.10.2018","21,99","21,20","21,99","21,10","126,85M","8,65%"
"01.10.2018","20,24","20,48","20,58","20,04","56,19M","-0,39%"
